Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
13:47:25.6,Start Sequence,,,,,,
00:00:00.3,Plugin,Opto LED,All Off,,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open,79797,3080068,13:47:25.951
00:00:00.3,Video In,,Start Video Input,,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging,79797,3080068,13:47:25.951
00:00:00.3,Plugin,Opto LED,3.4V - 1.67mW,,79797,3080068,13:47:25.951
00:00:00.3,Subroutine,Wakeup,Iterations = 1,,79797,3080068,13:47:25.952
00:00:00.3,Digital Output,Left odour shutoff,ON,,79797,3080068,13:47:25.953
00:00:00.3,Digital Output,Right odour shutoff,ON,,79797,3080068,13:47:25.955
00:00:05.0,Wait,5.00 sec,Delay,,79918,3084712,13:47:30.615
00:00:05.0,Subroutine,Left RIght Puff,Iterations = 4,,79918,3084712,13:47:30.615
00:00:05.0,Digital Output,Left airpuff,ON,,79918,3084712,13:47:30.616
00:00:05.1,Wait,0.10 sec,Delay,,79921,3084827,13:47:30.716
00:00:05.1,Digital Output,Left airpuff,OFF,,79921,3084827,13:47:30.717
00:00:05.3,Wait,0.20 sec,Delay,,79926,3085019,13:47:30.917
00:00:05.3,Digital Output,Right airpuff,ON,,79926,3085019,13:47:30.918
00:00:05.4,Wait,0.10 sec,Delay,,79929,3085134,13:47:31.018
00:00:05.4,Digital Output,Right airpuff,OFF,,79929,3085134,13:47:31.019
00:00:05.6,Wait,0.20 sec,Delay,,79934,3085326,13:47:31.219
00:00:05.6,Digital Output,Left airpuff,ON,,79934,3085326,13:47:31.220
00:00:05.7,Wait,0.10 sec,Delay,,79936,3085403,13:47:31.320
00:00:05.7,Digital Output,Left airpuff,OFF,,79936,3085403,13:47:31.321
00:00:05.9,Wait,0.20 sec,Delay,,79942,3085633,13:47:31.521
00:00:05.9,Digital Output,Right airpuff,ON,,79942,3085633,13:47:31.522
00:00:06.0,Wait,0.10 sec,Delay,,79944,3085710,13:47:31.622
00:00:06.0,Digital Output,Right airpuff,OFF,,79944,3085710,13:47:31.623
00:00:06.2,Wait,0.20 sec,Delay,,79950,3085940,13:47:31.823
00:00:06.2,Digital Output,Left airpuff,ON,,79950,3085940,13:47:31.824
00:00:06.3,Wait,0.10 sec,Delay,,79952,3086017,13:47:31.924
