,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
704,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
705,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
706,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
707,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
708,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
709,0.0,0.2,0.0,1.0,0.0,0.2,0.667,0.667,1.0,1.0
710,0.0,0.2,0.0,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
711,0.0,0.2,0.0,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
712,0.0,0.2,0.0,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
713,0.0,0.2,0.0,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
714,0.0,0.2,0.0,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
715,0.0,0.2,0.33299999999999996,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
716,0.0,0.0,0.33299999999999996,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
717,0.0,0.0,0.33299999999999996,1.0,0.0,0.33299999999999996,0.667,0.667,1.0,1.0
718,0.0,0.2,0.33299999999999996,1.0,0.0,0.6,0.667,0.667,1.0,1.0
719,0.0,0.2,0.33299999999999996,1.0,0.0,0.6,0.667,0.667,1.0,1.0
720,0.0,0.2,0.33299999999999996,1.0,0.0,0.6,0.667,0.667,1.0,1.0
721,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,0.667,0.667,1.0,1.0
722,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
723,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
724,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
725,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
726,0.0,0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
727,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
728,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
729,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
730,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
731,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
732,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
733,0.0,0.0,0.33299999999999996,0.667,0.0,0.667,1.0,0.667,1.0,1.0
734,0.0,-0.2,0.33299999999999996,1.0,0.0,0.667,1.0,0.667,1.0,1.0
