,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
585,-0.33299999999999996,0.5,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
586,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
587,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
588,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
589,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
590,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
591,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
592,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
593,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
594,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
595,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
596,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
597,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
598,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
599,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
600,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
601,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
602,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
603,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
604,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
605,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
606,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
607,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
608,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
609,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.0
610,-0.33299999999999996,0.2,0.2,-0.2,-0.6,-0.6,-0.667,0.2,-0.667,0.2
611,-0.33299999999999996,0.2,0.2,-0.2,-0.5,-0.6,-0.667,0.2,-0.667,0.2
612,-0.33299999999999996,0.5,0.2,-0.2,-0.5,-0.6,-0.6,0.2,-0.667,0.33299999999999996
613,1.0,1.0,0.5,1.0,0.33299999999999996,0.0,-0.5,1.0,0.5,0.5
614,1.0,1.0,0.0,1.0,1.0,0.5,-1.0,0.0,0.33299999999999996,0.33299999999999996
