Owner,Wait (sec),Step type,Attribute,Action,Comment
Main,0.00,Digital Output,Opto LEDs,OFF,
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open
Main,0.00,Video In,,Start Video Input,
Main,0.00,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds
Main,0.00,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file
Main,0.00,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging
Main,0.00,Subroutine,Wakeup,Iterations = 1,
Wakeup,0.00,Digital Output,Left odour shutoff,ON,
Wakeup,0.00,Digital Output,Right odour shutoff,ON,
Wakeup,5.00,Wait,5.00 sec,Delay,
Wakeup,0.00,Subroutine,Left RIght Puff,Iterations = 4,
Left RIght Puff,0.00,Digital Output,Left airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Left airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Wakeup,0.00,Digital Output,Left odour shutoff,OFF,
Wakeup,0.00,Digital Output,Right odour shutoff,OFF,
Main,0.00,Experiment State,Set state,Bias test: MCH(R) + OCT(L),Bias test
Main,0.00,Subroutine,bias test: MCH(R)+OCT(L),Iterations = 1,bias test: MCH(R)+OCT(L)
bias test: MCH(R)+OCT(L),0.00,Digital Output,Right MCH,ON,
bias test: MCH(R)+OCT(L),0.00,Digital Output,Left OCT,ON,
bias test: MCH(R)+OCT(L),120.00,Wait,120.00 sec,Delay,
bias test: MCH(R)+OCT(L),0.00,Digital Output,Right MCH,OFF,
bias test: MCH(R)+OCT(L),0.00,Digital Output,Left OCT,OFF,
Main,0.00,Experiment State,Set state,Acclimatise: Air,
Main,0.00,Subroutine,comp air,Iterations = 1,Compensatory air for 60 sec
comp air,0.00,Digital Output,Left comp air,ON,
comp air,0.00,Digital Output,Right comp air,ON,
comp air,60.00,Wait,60.00 sec,Delay,
comp air,0.00,Digital Output,Left comp air,OFF,
comp air,0.00,Digital Output,Right comp air,OFF,
Main,0.00,Experiment State,Set state,Shock Training: OCT(R) + OCT(L),
Main,0.00,Subroutine,OCT training,Iterations = 1,OCT R+L (60 sec) shock
OCT training,0.00,Digital Output,Right OCT,ON,
OCT training,0.00,Digital Output,Left OCT,ON,
OCT training,3.00,Wait,3.00 sec,Delay,
OCT training,0.00,Feedback Stimulation,Shock,-2.000 < cX < 2.000,
OCT training,57.00,Wait,57.00 sec,Delay,
OCT training,0.00,Feedback Stimulation,Shock,Disabled,
OCT training,0.00,Digital Output,Left OCT,OFF,
OCT training,0.00,Digital Output,Right OCT,OFF,
OCT training,0.00,Digital Output,Opto LEDs,OFF,
Main,0.10,Experiment State,Set state,Recess: Air,
Main,0.00,Subroutine,comp air,Iterations = 1,Compensatory air for 60 sec
comp air,0.00,Digital Output,Left comp air,ON,
comp air,0.00,Digital Output,Right comp air,ON,
comp air,60.00,Wait,60.00 sec,Delay,
comp air,0.00,Digital Output,Left comp air,OFF,
comp air,0.00,Digital Output,Right comp air,OFF,
Main,0.00,Experiment State,Set state,No Shock: MCH(R) + MCH(L),
Main,0.00,Subroutine,MCH 60s,Iterations = 1,MCH both sides for 60 sec
MCH 60s,0.00,Digital Output,Right MCH,ON,
MCH 60s,0.00,Digital Output,Left MCH,ON,
MCH 60s,60.00,Wait,60.00 sec,Delay,
MCH 60s,0.00,Digital Output,Left MCH,OFF,
MCH 60s,0.00,Digital Output,Right MCH,OFF,
Main,0.10,Experiment State,Set state,Recess: Air,
Main,0.00,Subroutine,comp air,Iterations = 1,120 sec comp air
comp air,0.00,Digital Output,Left comp air,ON,
comp air,0.00,Digital Output,Right comp air,ON,
comp air,120.00,Wait,120.00 sec,Delay,
comp air,0.00,Digital Output,Left comp air,OFF,
comp air,0.00,Digital Output,Right comp air,OFF,
Main,0.00,Experiment State,Set state,Static Test: MCH(R) + OCT(L),
Main,0.00,Digital Output,Right MCH,ON,Start Static test
Main,0.00,Digital Output,Left OCT,ON,
Main,120.00,Wait,120.00 sec,Delay,Static test duration
Main,0.00,Subroutine,Airpuff agitation,Iterations = 1,
Airpuff agitation,0.00,Digital Output,Left odour shutoff,ON,
Airpuff agitation,0.00,Digital Output,Right odour shutoff,ON,
Airpuff agitation,5.00,Wait,5.00 sec,Delay,
Airpuff agitation,0.00,Subroutine,Left RIght Puff,Iterations = 4,
Left RIght Puff,0.00,Digital Output,Left airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Left airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
