Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
15:50:15.6,Start Sequence,,,,,,
00:00:00.4,Digital Output,Opto LEDs,OFF,,1768454,67875051,15:50:16.089
00:00:00.4,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off,1768454,67875051,15:50:16.089
00:00:00.4,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open,1768454,67875051,15:50:16.090
00:00:00.4,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds,1768454,67875051,15:50:16.090
00:00:00.4,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing,1768454,67875051,15:50:16.090
00:00:00.4,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file,1768454,67875051,15:50:16.090
00:00:00.4,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging,1768454,67875051,15:50:16.090
00:00:00.4,Subroutine,Wakeup,Iterations = 1,,1768454,67875051,15:50:16.090
00:00:00.4,Digital Output,Left odour shutoff,ON,,1768454,67875051,15:50:16.091
00:00:00.4,Digital Output,Right odour shutoff,ON,,1768454,67875051,15:50:16.092
00:00:05.0,Wait,5.00 sec,Delay,,1768572,67879580,15:50:20.653
00:00:05.0,Subroutine,Left RIght Puff,Iterations = 4,,1768572,67879580,15:50:20.653
00:00:05.0,Digital Output,Left airpuff,ON,,1768573,67879618,15:50:20.654
00:00:05.1,Wait,0.10 sec,Delay,,1768575,67879695,15:50:20.754
00:00:05.1,Digital Output,Left airpuff,OFF,,1768575,67879695,15:50:20.755
00:00:05.3,Wait,0.20 sec,Delay,,1768580,67879887,15:50:20.955
00:00:05.3,Digital Output,Right airpuff,ON,,1768580,67879887,15:50:20.956
00:00:05.4,Wait,0.10 sec,Delay,,1768583,67880002,15:50:21.056
00:00:05.4,Digital Output,Right airpuff,OFF,,1768583,67880002,15:50:21.057
00:00:05.6,Wait,0.20 sec,Delay,,1768588,67880194,15:50:21.257
00:00:05.6,Digital Output,Left airpuff,ON,,1768588,67880194,15:50:21.258
00:00:05.7,Wait,0.10 sec,Delay,,1768591,67880309,15:50:21.358
00:00:05.7,Digital Output,Left airpuff,OFF,,1768591,67880309,15:50:21.359
00:00:05.9,Wait,0.20 sec,Delay,,1768596,67880501,15:50:21.559
00:00:05.9,Digital Output,Right airpuff,ON,,1768596,67880501,15:50:21.560
00:00:06.0,Wait,0.10 sec,Delay,,1768599,67880616,15:50:21.660
00:00:06.0,Digital Output,Right airpuff,OFF,,1768599,67880616,15:50:21.661
00:00:06.2,Wait,0.20 sec,Delay,,1768604,67880808,15:50:21.861
00:00:06.2,Digital Output,Left airpuff,ON,,1768604,67880808,15:50:21.862
00:00:06.3,Wait,0.10 sec,Delay,,1768607,67880923,15:50:21.962
00:00:06.3,Digital Output,Left airpuff,OFF,,1768607,67880923,15:50:21.963
00:00:06.5,Wait,0.20 sec,Delay,,1768612,67881115,15:50:22.163
00:00:06.5,Digital Output,Right airpuff,ON,,1768612,67881115,15:50:22.164
00:00:06.6,Wait,0.10 sec,Delay,,1768614,67881192,15:50:22.264
00:00:06.6,Digital Output,Right airpuff,OFF,,1768614,67881192,15:50:22.265
00:00:06.8,Wait,0.20 sec,Delay,,1768620,67881422,15:50:22.465
00:00:06.8,Digital Output,Left airpuff,ON,,1768620,67881422,15:50:22.466
00:00:06.9,Wait,0.10 sec,Delay,,1768622,67881499,15:50:22.566
00:00:06.9,Digital Output,Left airpuff,OFF,,1768622,67881499,15:50:22.567
00:00:07.1,Wait,0.20 sec,Delay,,1768628,67881729,15:50:22.767
00:00:07.1,Digital Output,Right airpuff,ON,,1768628,67881729,15:50:22.768
00:00:07.2,Wait,0.10 sec,Delay,,1768630,67881806,15:50:22.848
00:00:07.2,Digital Output,Right airpuff,OFF,,1768630,67881806,15:50:22.849
00:00:07.4,Wait,0.20 sec,Delay,,1768635,67881998,15:50:23.049
00:00:07.4,Digital Output,Left odour shutoff,OFF,,1768635,67881998,15:50:23.050
00:00:07.4,Digital Output,Right odour shutoff,OFF,,1768635,67881998,15:50:23.052
00:00:07.4,Experiment State,Set state,Acclimatise: Air,,1768635,67881998,15:50:23.052
00:00:07.4,Subroutine,comp air,Iterations = 1,Compensatory air for 120sec,1768635,67881998,15:50:23.052
00:00:07.4,Digital Output,Left comp air,ON,,1768635,67881998,15:50:23.053
00:00:07.4,Digital Output,Right comp air,ON,,1768635,67881998,15:50:23.054
00:02:07.4,Wait,120.00 sec,Delay,,1771762,68002009,15:52:23.056
00:02:07.4,Digital Output,Left comp air,OFF,,1771762,68002009,15:52:23.057
00:02:07.4,Digital Output,Right comp air,OFF,,1771762,68002009,15:52:23.059
00:02:07.4,Subroutine,LED then OCT - no wait,Iterations = 1,,1771762,68002009,15:52:23.059
00:02:07.4,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1771762,68002009,15:52:23.059
00:02:07.4,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec,1771762,68002009,15:52:23.059
00:02:07.4,Digital Output,Right MCH,ON,,1771762,68002009,15:52:23.060
00:02:07.4,Digital Output,Left MCH,ON,,1771762,68002009,15:52:23.062
00:02:22.4,Wait,15.00 sec,Delay,,1772153,68017016,15:52:38.062
00:02:22.4,Digital Output,Left MCH,OFF,,1772153,68017016,15:52:38.063
00:02:22.4,Digital Output,Right MCH,OFF,,1772153,68017016,15:52:38.065
00:02:22.5,Experiment State,Set state,Recess: Air,,1772155,68017092,15:52:38.165
00:02:22.5,Digital Output,Opto LEDs,ON,,1772155,68017092,15:52:38.166
00:02:52.5,Wait,30.00 sec,Delay,,1772937,68047105,15:53:08.166
00:02:52.5,Digital Output,Opto LEDs,OFF,,1772937,68047105,15:53:08.167
00:02:52.5,Feedback Stimulation,Shock,-2.000 < cX < 2.000,,1772937,68047105,15:53:08.167
00:03:12.5,Wait,20.00 sec,Delay,,1773458,68067100,15:53:28.149
00:03:12.5,Feedback Stimulation,Shock,Disabled,,1773458,68067100,15:53:28.149
00:05:12.5,Wait,120.00 sec,Delay,,1776585,68187112,15:55:28.148
00:05:12.5,Digital Output,Left OCT,ON,,1776585,68187112,15:55:28.150
00:05:12.5,Digital Output,Right OCT,ON,,1776585,68187112,15:55:28.151
00:05:27.5,Wait,15.00 sec,Delay,,1776975,68202080,15:55:43.152
00:05:27.5,Digital Output,Left OCT,OFF,,1776975,68202080,15:55:43.153
00:05:27.5,Digital Output,Right OCT,OFF,,1776976,68202118,15:55:43.155
00:05:27.5,Subroutine,LED then OCT,Iterations = 3,,1776976,68202118,15:55:43.155
00:25:27.5,Wait,1200.00 sec,Delay,,1808243,69402116,16:15:43.161
00:25:27.5,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1808243,69402116,16:15:43.161
00:25:27.5,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec,1808243,69402116,16:15:43.161
00:25:27.5,Digital Output,Right MCH,ON,,1808243,69402116,16:15:43.162
00:25:27.5,Digital Output,Left MCH,ON,,1808243,69402116,16:15:43.164
00:25:42.5,Wait,15.00 sec,Delay,,1808634,69417123,16:15:58.164
00:25:42.5,Digital Output,Left MCH,OFF,,1808634,69417123,16:15:58.165
00:25:42.5,Digital Output,Right MCH,OFF,,1808634,69417123,16:15:58.167
00:25:42.6,Experiment State,Set state,Recess: Air,,1808636,69417199,16:15:58.267
00:25:42.6,Digital Output,Opto LEDs,ON,,1808636,69417199,16:15:58.268
00:26:12.6,Wait,30.00 sec,Delay,,1809418,69447212,16:16:28.248
00:26:12.6,Digital Output,Opto LEDs,OFF,,1809418,69447212,16:16:28.249
00:26:12.6,Feedback Stimulation,Shock,-2.000 < cX < 2.000,,1809418,69447212,16:16:28.249
00:26:32.6,Wait,20.00 sec,Delay,,1809939,69467208,16:16:48.251
00:26:32.6,Feedback Stimulation,Shock,Disabled,,1809939,69467208,16:16:48.251
00:28:32.6,Wait,120.00 sec,Delay,,1813065,69587181,16:18:48.250
00:28:32.6,Digital Output,Left OCT,ON,,1813065,69587181,16:18:48.251
00:28:32.6,Digital Output,Right OCT,ON,,1813065,69587181,16:18:48.253
00:28:47.6,Wait,15.00 sec,Delay,,1813456,69602187,16:19:03.253
00:28:47.6,Digital Output,Left OCT,OFF,,1813456,69602187,16:19:03.254
00:28:47.6,Digital Output,Right OCT,OFF,,1813456,69602187,16:19:03.256
00:48:47.6,Wait,1200.00 sec,Delay,,1844724,70802224,16:39:03.266
00:48:47.6,Experiment State,Set state,No Shock: MCH(R) + MCH(L),,1844724,70802224,16:39:03.266
