Owner,Wait (sec),Step type,Attribute,Action,Comment
Main,0.00,Digital Output,Opto LEDs,OFF,
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Off,Check counter logging is off
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Close,Check no log file open
Main,0.00,Plugin,Mutli-Fly Tracker,RESET,Reset Backgrounds
Main,0.00,Plugin,Mutli-Fly Tracker,PROC On,Start Counter processing
Main,0.00,Plugin,Mutli-Fly Tracker,LOG Open,Open new Count log file
Main,0.00,Plugin,Mutli-Fly Tracker,LOG On,Start continuous logging
Main,0.00,Subroutine,Wakeup,Iterations = 1,
Wakeup,0.00,Digital Output,Left odour shutoff,ON,
Wakeup,0.00,Digital Output,Right odour shutoff,ON,
Wakeup,5.00,Wait,5.00 sec,Delay,
Wakeup,0.00,Subroutine,Left RIght Puff,Iterations = 4,
Left RIght Puff,0.00,Digital Output,Left airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Left airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,ON,
Left RIght Puff,0.10,Wait,0.10 sec,Delay,
Left RIght Puff,0.00,Digital Output,Right airpuff,OFF,
Left RIght Puff,0.20,Wait,0.20 sec,Delay,
Wakeup,0.00,Digital Output,Left odour shutoff,OFF,
Wakeup,0.00,Digital Output,Right odour shutoff,OFF,
Main,0.00,Experiment State,Set state,Acclimatise: Air,
Main,0.00,Subroutine,comp air,Iterations = 1,Compensatory air for 120sec
comp air,0.00,Digital Output,Left comp air,ON,
comp air,0.00,Digital Output,Right comp air,ON,
comp air,120.00,Wait,120.00 sec,Delay,
comp air,0.00,Digital Output,Left comp air,OFF,
comp air,0.00,Digital Output,Right comp air,OFF,
Main,0.00,Subroutine,LED then OCT - no wait,Iterations = 1,
LED then OCT - no wait,0.00,Experiment State,Set state,No Shock: MCH(R) + MCH(L),
LED then OCT - no wait,0.00,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec
MCH 15S,0.00,Digital Output,Right MCH,ON,
MCH 15S,0.00,Digital Output,Left MCH,ON,
MCH 15S,15.00,Wait,15.00 sec,Delay,
MCH 15S,0.00,Digital Output,Left MCH,OFF,
MCH 15S,0.00,Digital Output,Right MCH,OFF,
LED then OCT - no wait,0.10,Experiment State,Set state,Recess: Air,
LED then OCT - no wait,0.00,Digital Output,Opto LEDs,ON,
LED then OCT - no wait,30.00,Wait,30.00 sec,Delay,
LED then OCT - no wait,0.00,Digital Output,Opto LEDs,OFF,
LED then OCT - no wait,0.00,Feedback Stimulation,Shock,-2.000 < cX < 2.000,
LED then OCT - no wait,20.00,Wait,20.00 sec,Delay,
LED then OCT - no wait,0.00,Feedback Stimulation,Shock,Disabled,
LED then OCT - no wait,120.00,Wait,120.00 sec,Delay,
LED then OCT - no wait,0.00,Digital Output,Left OCT,ON,
LED then OCT - no wait,0.00,Digital Output,Right OCT,ON,
LED then OCT - no wait,15.00,Wait,15.00 sec,Delay,
LED then OCT - no wait,0.00,Digital Output,Left OCT,OFF,
LED then OCT - no wait,0.00,Digital Output,Right OCT,OFF,
Main,0.00,Subroutine,LED then OCT,Iterations = 3,
LED then OCT,1200.00,Wait,1200.00 sec,Delay,
LED then OCT,0.00,Experiment State,Set state,No Shock: MCH(R) + MCH(L),
LED then OCT,0.00,Subroutine,MCH 15S,Iterations = 1,MCH both sides for 60 sec
MCH 15S,0.00,Digital Output,Right MCH,ON,
MCH 15S,0.00,Digital Output,Left MCH,ON,
MCH 15S,15.00,Wait,15.00 sec,Delay,
MCH 15S,0.00,Digital Output,Left MCH,OFF,
MCH 15S,0.00,Digital Output,Right MCH,OFF,
LED then OCT,0.10,Experiment State,Set state,Recess: Air,
LED then OCT,0.00,Digital Output,Opto LEDs,ON,
LED then OCT,30.00,Wait,30.00 sec,Delay,
LED then OCT,0.00,Digital Output,Opto LEDs,OFF,
LED then OCT,0.00,Feedback Stimulation,Shock,-2.000 < cX < 2.000,
LED then OCT,20.00,Wait,20.00 sec,Delay,
LED then OCT,0.00,Feedback Stimulation,Shock,Disabled,
LED then OCT,120.00,Wait,120.00 sec,Delay,
LED then OCT,0.00,Digital Output,Left OCT,ON,
LED then OCT,0.00,Digital Output,Right OCT,ON,
LED then OCT,15.00,Wait,15.00 sec,Delay,
LED then OCT,0.00,Digital Output,Left OCT,OFF,
LED then OCT,0.00,Digital Output,Right OCT,OFF,
Main,0.10,Experiment State,Set state,Recess: Air,
Main,0.00,Subroutine,comp air,Iterations = 1,900 sec comp air
comp air,0.00,Digital Output,Left comp air,ON,
comp air,0.00,Digital Output,Right comp air,ON,
comp air,900.00,Wait,900.00 sec,Delay,
comp air,0.00,Digital Output,Left comp air,OFF,
comp air,0.00,Digital Output,Right comp air,OFF,
Main,0.00,Subroutine,Airpuff agitation,Iterations = 1,
Airpuff agitation,0.00,Digital Output,Left odour shutoff,ON,
Airpuff agitation,0.00,Digital Output,Right odour shutoff,ON,
Airpuff agitation,5.00,Wait,5.00 sec,Delay,
