,Ch5_PI_r,Ch6_PI_r,Ch7_PI_r,Ch8_PI_r,Ch9_PI_r,Ch10_PI_r,Ch11_PI_r,Ch12_PI_r,Ch13_PI_r,Ch14_PI_r
5524,-0.2,0.0,-0.7140000000000001,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.2
5525,-0.2,0.0,-0.667,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.2
5526,-0.2,0.0,-1.0,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5527,-0.2,-0.33299999999999996,-1.0,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.2
5528,-0.2,0.0,-0.667,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.2
5529,-0.2,0.33299999999999996,-0.6,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5530,-0.2,1.0,-0.6,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5531,-0.2,1.0,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5532,-0.2,1.0,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5533,-0.2,1.0,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5534,-0.2,1.0,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5535,-0.2,1.0,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5536,-0.2,0.5,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5537,-0.2,0.5,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5538,-0.2,0.5,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5539,-0.2,0.5,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5540,-0.2,0.5,-0.33299999999999996,-0.6,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5541,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5542,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5543,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5544,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5545,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5546,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5547,-0.2,0.0,-0.33299999999999996,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5548,-0.2,0.0,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5549,-0.2,0.0,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5550,-0.2,0.0,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5551,-0.2,0.0,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5552,-0.2,0.0,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5553,-0.2,-0.33299999999999996,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
5554,-0.2,-0.33299999999999996,-0.429,-1.0,0.0,0.33299999999999996,-0.5,0.0,-0.25,0.33299999999999996
