,Chambers,Run,Odor,Corrected Arousal PI,Genotype,GenotypeCorrected
1,5,3,OCT,0.3050967741935485,W1118>UAS-dGtACR1,Control UAS
2,6,3,OCT,-0.09951612903225801,W1118>UAS-dGtACR1,Control UAS
3,7,3,OCT,-0.75,W1118>UAS-dGtACR1,Control UAS
4,8,3,OCT,-0.5322258064516128,W1118>UAS-dGtACR1,Control UAS
5,9,3,OCT,-0.13541935483870965,W1118>UAS-dGtACR1,Control UAS
6,10,3,OCT,-0.6226666666666668,OK107-Gal4>UAS-dGtACR1,Test
7,11,3,OCT,0.3494838709677419,OK107-Gal4>UAS-dGtACR1,Test
8,12,3,OCT,-0.10322580645161292,OK107-Gal4>UAS-dGtACR1,Test
9,13,3,OCT,0.7139999999999999,OK107-Gal4>UAS-dGtACR1,Test
10,14,3,OCT,0.8548387096774194,OK107-Gal4>UAS-dGtACR1,Test
